Name	HAF1608	HELF977	IMR90	Beas-2B	Mammary_Epithelial	MCF10A	MCF7	MDA-DB-231	ZR75-1	HeLa	Hep3B	HepG2	Huh7	MIHA	Fadu	A549	H1264	H460	H520	RVH6849	HK1	NP460	LNCaP	BicR	DKO1	DKS8	DLD1	DLD2	HCT116	SW480	143B	U2OS	HEK293	A2058	A375	SH-SY5Y	LCLB	HDMYZ	C8166	Jurkat	SUP-T1	THP-1
hsa-miR-6740-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.100935023	1.126718079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-522-3p	2.789496245	0	0	0	0	254.8432392	3.078502056	3.979942002	1.125539059	1.410313566	0	1.237829869	0	0	0	3.484597944	0	0	0	1.508221035	0	0	0	0	3.339954178	1.354448476	3.668615687	0	0	0	0	292.4415749	0	2.894934753	1.365445244	0	0	0	0	0	0	0
hsa-miR-302b-3p	0	0	568.413679	0	0	1.217681007	0	0	0	0	0	0	0	0	0	1.202054354	0	0	0	0	0	0	0	2.896597055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25164942	0	0
hsa-miR-620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5708	0	0	0	0	0	0	0	0	0	1.105115423	0	0	0	0	0	1.086355982	0	0	1.099794975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6888-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.060216392	0	0	2.691016781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3614-3p	0	0	0	0	0	3.218156946	1.976542583	0	1.707336138	1.448266798	0	1.114094625	0	0	0	0	0	0	0	0	3.962907189	0	0	0	0	2.455402234	0	0	0	0	0	0	0	6.616993722	1.785582243	0	19.16544579	46.57223658	0	3.102581051	0	0
hsa-miR-5684	0	0	0	0	3.600251361	1.304658221	1.297837095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.77185115	28.07470992	2.338889512	3.607803061	4.043379294	0	0	0	0	0	0	0	0	0	0	0	1.575935613	0	0	0
hsa-miR-3670-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4306	0	0	0	0	0	0	1.091171346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
